stay,age,inf,cult,beds,region,census,nurses,facilities
7.13,55.7,4.1,9,279,4,207,241,60
8.82,58.2,1.6,3.8,80,2,51,52,40
8.34,56.9,2.7,8.1,107,3,82,54,20
8.95,53.7,5.6,18.9,147,4,53,148,40
11.2,56.5,5.7,34.5,180,1,134,151,40
9.76,50.9,5.1,21.9,150,2,147,106,40
9.68,57.8,4.6,16.7,186,3,151,129,40
11.18,45.7,5.4,60.5,640,2,399,360,60
8.67,48.2,4.3,24.4,182,3,130,118,40
8.84,56.3,6.3,29.6,85,1,59,66,40
11.07,53.2,4.9,28.5,768,1,591,656,80
8.3,57.2,4.3,6.8,167,3,105,59,40
12.78,56.8,7.7,46,322,1,252,349,57.1
7.58,56.7,3.7,20.8,97,2,59,79,37.1
9,56.3,4.2,14.6,72,3,61,38,17.1
11.08,50.2,5.5,18.6,387,3,326,405,57.1
8.28,48.1,4.5,26,108,4,84,73,37.1
11.62,53.9,6.4,25.5,133,1,113,101,37.1
9.06,52.8,4.2,6.9,134,2,103,125,37.1
9.35,53.8,4.1,15.9,833,3,547,519,77.1
7.53,42,4.2,23.1,95,4,47,49,17.1
10.24,49,4.8,36.3,195,2,163,170,37.1
9.78,52.3,5,17.6,270,1,240,198,57.1
9.84,62.2,4.8,12,600,3,468,497,57.1
9.2,52.2,4,17.5,298,4,244,236,57.1
8.28,49.5,3.9,12,546,2,413,436,57.1
9.31,47.2,4.5,30.2,170,1,124,173,37.1
8.19,52.1,3.2,10.8,176,1,156,88,37.1
11.65,54.5,4.4,18.6,248,1,217,189,37.1
9.89,50.5,4.9,17.7,167,2,113,106,37.1
11.03,49.9,5,19.7,318,1,270,335,57.1
9.84,53,5.2,17.7,210,2,200,239,54.3
11.77,54.1,5.3,17.3,196,1,164,165,34.3
13.59,54,6.1,24.2,312,1,258,169,54.3
9.74,54.4,6.3,11.4,221,2,170,172,54.3
10.33,55.8,5,21.2,266,1,181,149,54.3
9.97,58.2,2.8,16.5,90,2,69,42,34.3
7.84,49.1,4.6,7.1,60,3,50,45,34.3
10.47,53.2,4.1,5.7,196,2,168,153,54.3
8.16,60.9,1.3,1.9,73,3,49,21,14.3
8.48,51.1,3.7,12.1,166,3,145,118,34.3
10.72,53.8,4.7,23.2,113,3,90,107,34.3
11.2,45,3,7,130,3,95,56,34.3
10.12,51.7,5.6,14.9,362,3,313,264,54.3
8.37,50.7,5.5,15.1,115,2,96,88,34.3
10.16,54.2,4.6,8.4,831,4,581,629,74.3
19.56,59.9,6.5,17.2,306,1,273,172,51.4
10.9,57.2,5.5,10.6,593,2,446,211,51.4
7.67,51.7,1.8,2.5,106,3,93,35,11.4
8.88,51.5,4.2,10.1,305,3,238,197,51.4
11.48,57.6,5.6,20.3,252,1,207,251,51.4
9.23,51.6,4.3,11.6,620,2,413,420,71.4
11.41,61.1,7.6,16.6,535,3,330,273,51.4
12.07,43.7,7.8,52.4,157,2,115,76,31.4
8.63,54,3.1,8.4,76,1,39,44,31.4
11.15,56.5,3.9,7.7,281,1,217,199,51.4
7.14,59,3.7,2.6,70,4,37,35,31.4
7.65,47.1,4.3,16.4,318,4,265,314,51.4
10.73,50.6,3.9,19.3,445,2,374,345,51.4
11.46,56.9,4.5,15.6,191,3,153,132,31.4
10.42,58,3.4,8,119,1,67,64,31.4
11.18,51,5.7,18.8,595,2,546,392,68.6
7.93,64.1,5.4,7.5,68,4,42,49,28.6
9.66,52.1,4.4,9.9,83,2,66,95,28.6
7.78,45.5,5,20.9,489,3,391,329,48.6
9.42,50.6,4.3,24.8,508,1,421,528,48.6
10.02,49.5,4.4,8.3,265,2,191,202,48.6
8.58,55,3.7,7.4,304,3,248,218,48.6
9.61,52.4,4.5,6.9,487,3,404,220,48.6
8.03,54.2,3.5,24.3,97,1,65,55,28.6
7.39,51,4.2,14.6,72,2,38,67,28.6
7.08,52,2,12.3,87,3,52,57,28.6
9.53,51.5,5.2,15,298,3,241,193,48.6
10.05,52,4.5,36.7,184,1,144,151,68.6
8.45,38.8,3.4,12.9,235,2,143,124,48.6
6.7,48.6,4.5,13,76,4,51,79,28.6
8.9,49.7,2.9,12.7,52,1,37,35,28.6
10.23,53.2,4.9,9.9,752,2,595,446,68.6
8.88,55.8,4.4,14.1,237,2,165,182,48.6
10.3,59.6,5.1,27.8,175,2,113,73,45.7
10.79,44.2,2.9,2.6,461,2,320,196,65.7
7.94,49.5,3.5,6.2,195,2,139,116,45.7
7.63,52.1,5.5,11.6,197,4,109,110,45.7
8.77,54.5,4.7,5.2,143,4,85,87,25.7
8.09,56.9,1.7,7.6,92,3,61,61,45.7
9.05,51.2,4.1,20.5,195,3,127,112,45.7
7.91,52.8,2.9,11.9,477,3,349,188,65.7
10.39,54.6,4.3,14,353,2,223,200,65.7
9.36,54.1,4.8,18.3,165,1,127,158,45.7
11.41,50.4,5.8,23.8,424,3,359,335,45.7
8.86,51.3,2.9,9.5,100,3,65,53,25.7
8.93,56,2,6.2,95,3,59,56,25.7
8.92,53.9,1.3,2.2,56,2,40,14,5.7
8.15,54.9,5.3,12.3,99,4,55,71,25.7
9.77,50.2,5.3,15.7,154,2,123,148,25.7
8.54,56.1,2.5,27,98,1,57,75,45.7
8.66,52.8,3.8,6.8,246,3,178,177,45.7
12.01,52.8,4.8,10.8,298,1,237,115,45.7
7.95,51.8,2.3,4.6,163,3,128,93,42.9
10.15,51.9,6.2,16.4,568,3,452,371,62.9
9.76,53.2,2.6,6.9,64,4,47,55,22.9
9.89,45.2,4.3,11.8,190,1,141,112,42.9
7.14,57.6,2.7,13.1,92,4,40,50,22.9
13.95,65.9,6.6,15.6,356,1,308,182,62.9
9.44,52.5,4.5,10.9,297,3,230,263,42.9
10.8,63.9,2.9,1.6,130,3,69,62,22.9
7.14,51.7,1.4,4.1,115,3,90,19,22.9
8.02,55,2.1,3.8,91,2,44,32,22.9
11.8,53.8,5.7,9.1,571,2,441,469,62.9
9.5,49.3,5.8,42,98,3,68,46,22.9
7.7,56.9,4.4,12.2,129,4,85,136,62.9
17.94,56.2,5.9,26.4,835,1,791,407,62.9
9.41,59.5,3.1,20.6,29,3,20,22,22.9
